date,downsizing_total,upsizing_total,down_roll,up_roll,net_roll
2015-01-01,47,19,,,
2015-02-01,49,12,,,
2015-03-01,55,28,,,
2015-04-01,74,30,,,
2015-05-01,47,14,,,
2015-06-01,42,20,,,
2015-07-01,53,28,,,
2015-08-01,53,21,,,
2015-09-01,56,29,,,
2015-10-01,56,28,,,
2015-11-01,41,25,,,
2015-12-01,48,18,621.0,272.0,349.0
2016-01-01,32,24,606.0,277.0,329.0
2016-02-01,48,21,605.0,286.0,319.0
2016-03-01,70,20,620.0,278.0,342.0
2016-04-01,47,12,593.0,260.0,333.0
2016-05-01,40,9,586.0,255.0,331.0
2016-06-01,26,13,570.0,248.0,322.0
2016-07-01,26,14,543.0,234.0,309.0
2016-08-01,23,9,513.0,222.0,291.0
2016-09-01,24,20,481.0,213.0,268.0
2016-10-01,22,21,447.0,206.0,241.0
2016-11-01,19,17,425.0,198.0,227.0
2016-12-01,17,13,394.0,193.0,201.0
2017-01-01,22,17,384.0,186.0,198.0
2017-02-01,27,19,363.0,184.0,179.0
2017-03-01,39,12,332.0,176.0,156.0
2017-04-01,23,9,308.0,173.0,135.0
2017-05-01,36,3,304.0,167.0,137.0
2017-06-01,24,9,302.0,163.0,139.0
2017-07-01,26,17,302.0,166.0,136.0
2017-08-01,28,13,307.0,170.0,137.0
2017-09-01,26,15,309.0,165.0,144.0
2017-10-01,18,18,305.0,162.0,143.0
2017-11-01,24,17,310.0,162.0,148.0
2017-12-01,28,14,321.0,163.0,158.0
2018-01-01,18,6,317.0,152.0,165.0
2018-02-01,22,9,312.0,142.0,170.0
2018-03-01,34,10,307.0,140.0,167.0
2018-04-01,44,15,328.0,146.0,182.0
2018-05-01,40,19,332.0,162.0,170.0
2018-06-01,46,21,354.0,174.0,180.0
2018-07-01,37,13,365.0,170.0,195.0
2018-08-01,38,12,375.0,169.0,206.0
2018-09-01,41,17,390.0,171.0,219.0
2018-10-01,33,22,405.0,175.0,230.0
2018-11-01,22,9,403.0,167.0,236.0
2018-12-01,19,10,394.0,163.0,231.0
2019-01-01,14,23,390.0,180.0,210.0
2019-02-01,24,16,392.0,187.0,205.0
2019-03-01,22,11,380.0,188.0,192.0
2019-04-01,34,13,370.0,186.0,184.0
2019-05-01,45,9,375.0,176.0,199.0
2019-06-01,32,24,361.0,179.0,182.0
2019-07-01,54,26,378.0,192.0,186.0
2019-08-01,32,16,372.0,196.0,176.0
2019-09-01,37,15,368.0,194.0,174.0
2019-10-01,32,17,367.0,189.0,178.0
2019-11-01,24,17,369.0,197.0,172.0
