item,series,date,value,item_clean
Food at home ,SAF11,2014-12-01,100.0,Food at home
Flour and prepared flour mixes ,SEFA01,2014-12-01,100.0,Flour and prepared flour mixes
Breakfast cereal ,SEFA02,2014-12-01,100.0,Breakfast cereal
"Rice, pasta, cornmeal ",SEFA03,2014-12-01,100.0,"Rice, pasta, cornmeal"
Bread ,SEFB01,2014-12-01,100.0,Bread
"Fresh biscuits, rolls, muffins ",SEFB02,2014-12-01,100.0,"Fresh biscuits, rolls, muffins"
"Cakes, cupcakes, and cookies ",SEFB03,2014-12-01,100.0,"Cakes, cupcakes, and cookies"
Other bakery products ,SEFB04,2014-12-01,100.0,Other bakery products
Uncooked ground beef ,SEFC01,2014-12-01,100.0,Uncooked ground beef
Uncooked beef roasts ,SEFC02,2014-12-01,100.0,Uncooked beef roasts
Uncooked beef steaks ,SEFC03,2014-12-01,100.0,Uncooked beef steaks
Uncooked other beef and veal ,SEFC04,2014-12-01,100.0,Uncooked other beef and veal
"Bacon, breakfast sausage, and related products ",SEFD01,2014-12-01,100.0,"Bacon, breakfast sausage, and related products"
Ham ,SEFD02,2014-12-01,100.0,Ham
Pork chops ,SEFD03,2014-12-01,100.0,Pork chops
"Other pork including roasts, steaks, and ribs ",SEFD04,2014-12-01,100.0,"Other pork including roasts, steaks, and ribs"
Other meats ,SEFE01,2014-12-01,100.0,Other meats
Chicken ,SEFF01,2014-12-01,100.0,Chicken
Other uncooked poultry including turkey ,SEFF02,2014-12-01,100.0,Other uncooked poultry including turkey
Fresh fish and seafood ,SEFG01,2014-12-01,100.0,Fresh fish and seafood
Processed fish and seafood ,SEFG02,2014-12-01,100.0,Processed fish and seafood
Eggs ,SEFH01,2014-12-01,100.0,Eggs
Milk ,SEFJ01,2014-12-01,100.0,Milk
Cheese and related products ,SEFJ02,2014-12-01,100.0,Cheese and related products
Ice cream and related products ,SEFJ03,2014-12-01,100.0,Ice cream and related products
Other dairy and related products ,SEFJ04,2014-12-01,100.0,Other dairy and related products
Apples ,SEFK01,2014-12-01,100.0,Apples
Bananas ,SEFK02,2014-12-01,100.0,Bananas
Citrus fruits ,SEFK03,2014-12-01,100.0,Citrus fruits
Other fresh fruits ,SEFK04,2014-12-01,100.0,Other fresh fruits
Potatoes ,SEFL01,2014-12-01,100.0,Potatoes
Lettuce ,SEFL02,2014-12-01,100.0,Lettuce
Tomatoes ,SEFL03,2014-12-01,100.0,Tomatoes
Other fresh vegetables ,SEFL04,2014-12-01,100.0,Other fresh vegetables
Canned fruits and vegetables ,SEFM01,2014-12-01,100.0,Canned fruits and vegetables
Frozen fruits and vegetables ,SEFM02,2014-12-01,100.0,Frozen fruits and vegetables
Other processed fruits and vegetables including dried ,SEFM03,2014-12-01,100.0,Other processed fruits and vegetables including dried
Carbonated drinks ,SEFN01,2014-12-01,100.0,Carbonated drinks
Frozen noncarbonated juices and drinks ,SEFN02,2014-12-01,100.0,Frozen noncarbonated juices and drinks
Nonfrozen noncarbonated juices and drinks ,SEFN03,2014-12-01,100.0,Nonfrozen noncarbonated juices and drinks
Coffee ,SEFP01,2014-12-01,100.0,Coffee
Other beverage materials including tea ,SEFP02,2014-12-01,100.0,Other beverage materials including tea
Sugar and sugar substitutes ,SEFR01,2014-12-01,100.0,Sugar and sugar substitutes
Candy and chewing gum ,SEFR02,2014-12-01,100.0,Candy and chewing gum
Other sweets ,SEFR03,2014-12-01,100.0,Other sweets
Butter and margarine ,SEFS01,2014-12-01,100.0,Butter and margarine
Salad dressing ,SEFS02,2014-12-01,100.0,Salad dressing
Other fats and oils including peanut butter ,SEFS03,2014-12-01,100.0,Other fats and oils including peanut butter
Soups ,SEFT01,2014-12-01,100.0,Soups
Frozen and freeze dried prepared foods ,SEFT02,2014-12-01,100.0,Frozen and freeze dried prepared foods
Snacks ,SEFT03,2014-12-01,100.0,Snacks
"Spices, seasonings, condiments, sauces ",SEFT04,2014-12-01,100.0,"Spices, seasonings, condiments, sauces"
Baby food and formula ,SEFT05,2014-12-01,100.0,Baby food and formula
Other miscellaneous foods ,SEFT06,2014-12-01,100.0,Other miscellaneous foods
Food at home ,SAF11,2015-01-01,100.288,Food at home
Flour and prepared flour mixes ,SEFA01,2015-01-01,106.393,Flour and prepared flour mixes
Breakfast cereal ,SEFA02,2015-01-01,99.412,Breakfast cereal
"Rice, pasta, cornmeal ",SEFA03,2015-01-01,103.436,"Rice, pasta, cornmeal"
Bread ,SEFB01,2015-01-01,99.619,Bread
"Fresh biscuits, rolls, muffins ",SEFB02,2015-01-01,101.095,"Fresh biscuits, rolls, muffins"
"Cakes, cupcakes, and cookies ",SEFB03,2015-01-01,100.615,"Cakes, cupcakes, and cookies"
Other bakery products ,SEFB04,2015-01-01,101.871,Other bakery products
Uncooked ground beef ,SEFC01,2015-01-01,101.387,Uncooked ground beef
Uncooked beef roasts ,SEFC02,2015-01-01,98.906,Uncooked beef roasts
Uncooked beef steaks ,SEFC03,2015-01-01,99.287,Uncooked beef steaks
Uncooked other beef and veal ,SEFC04,2015-01-01,99.84,Uncooked other beef and veal
"Bacon, breakfast sausage, and related products ",SEFD01,2015-01-01,101.165,"Bacon, breakfast sausage, and related products"
